block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
SSM-B001,SSM-B001-G06,18,229753,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104187.png,raw_tiles/ort_riku10/z18/x229753_y104187.png,"135.517730713,34.601563177,135.519104004,34.602693554",cached,092baebe7fdd7d5ef018d3b576a927d042c4d5c5173622ee18343bb6c7e26aa8,200_cached,2026-06-25T14:26:09Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229754,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104187.png,raw_tiles/ort_riku10/z18/x229754_y104187.png,"135.519104004,34.601563177,135.520477295,34.602693554",downloaded,b81417c28bc122879b2e260206bea725546e2885bd53defcb73a01018573bdb2,200,2026-06-25T14:26:10Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229755,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104187.png,raw_tiles/ort_riku10/z18/x229755_y104187.png,"135.520477295,34.601563177,135.521850586,34.602693554",downloaded,4f8f58e442bb852d01ef80f4ff5e61fd8e4c542652bce8137264f03ae92f7551,200,2026-06-25T14:26:11Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229753,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104188.png,raw_tiles/ort_riku10/z18/x229753_y104188.png,"135.517730713,34.600432785,135.519104004,34.601563177",cached,532045c66085c3842b60ca8c6d5bd5e092bda91886b1054b2d065595d3b394f8,200_cached,2026-06-25T14:26:11Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229754,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104188.png,raw_tiles/ort_riku10/z18/x229754_y104188.png,"135.519104004,34.600432785,135.520477295,34.601563177",downloaded,cd4b40ca31f9d60a2786f898065654b4df668bd0784a67930f93fa80da3f9576,200,2026-06-25T14:26:12Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229755,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104188.png,raw_tiles/ort_riku10/z18/x229755_y104188.png,"135.520477295,34.600432785,135.521850586,34.601563177",downloaded,5aeb073c7c590a4454c8b00b1b5e56d3e70fe27f9aa5460282728d3c18c66335,200,2026-06-25T14:26:13Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G07,18,229749,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104188.png,raw_tiles/ort_riku10/z18/x229749_y104188.png,"135.512237549,34.600432785,135.513610840,34.601563177",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229750,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104188.png,raw_tiles/ort_riku10/z18/x229750_y104188.png,"135.513610840,34.600432785,135.514984131,34.601563177",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229749,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104189.png,raw_tiles/ort_riku10/z18/x229749_y104189.png,"135.512237549,34.599302377,135.513610840,34.600432785",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229750,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104189.png,raw_tiles/ort_riku10/z18/x229750_y104189.png,"135.513610840,34.599302377,135.514984131,34.600432785",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229751,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104189.png,raw_tiles/ort_riku10/z18/x229751_y104189.png,"135.514984131,34.599302377,135.516357422,34.600432785",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229749,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104190.png,raw_tiles/ort_riku10/z18/x229749_y104190.png,"135.512237549,34.598171954,135.513610840,34.599302377",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229750,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104190.png,raw_tiles/ort_riku10/z18/x229750_y104190.png,"135.513610840,34.598171954,135.514984131,34.599302377",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229751,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104190.png,raw_tiles/ort_riku10/z18/x229751_y104190.png,"135.514984131,34.598171954,135.516357422,34.599302377",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229749,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104191.png,raw_tiles/ort_riku10/z18/x229749_y104191.png,"135.512237549,34.597041516,135.513610840,34.598171954",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229750,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104191.png,raw_tiles/ort_riku10/z18/x229750_y104191.png,"135.513610840,34.597041516,135.514984131,34.598171954",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G07,18,229751,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104191.png,raw_tiles/ort_riku10/z18/x229751_y104191.png,"135.514984131,34.597041516,135.516357422,34.598171954",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229752,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104188.png,raw_tiles/ort_riku10/z18/x229752_y104188.png,"135.516357422,34.600432785,135.517730713,34.601563177",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229753,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104188.png,raw_tiles/ort_riku10/z18/x229753_y104188.png,"135.517730713,34.600432785,135.519104004,34.601563177",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229751,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104189.png,raw_tiles/ort_riku10/z18/x229751_y104189.png,"135.514984131,34.599302377,135.516357422,34.600432785",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229752,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104189.png,raw_tiles/ort_riku10/z18/x229752_y104189.png,"135.516357422,34.599302377,135.517730713,34.600432785",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229753,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104189.png,raw_tiles/ort_riku10/z18/x229753_y104189.png,"135.517730713,34.599302377,135.519104004,34.600432785",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229751,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104190.png,raw_tiles/ort_riku10/z18/x229751_y104190.png,"135.514984131,34.598171954,135.516357422,34.599302377",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229752,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104190.png,raw_tiles/ort_riku10/z18/x229752_y104190.png,"135.516357422,34.598171954,135.517730713,34.599302377",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229753,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104190.png,raw_tiles/ort_riku10/z18/x229753_y104190.png,"135.517730713,34.598171954,135.519104004,34.599302377",planned_not_acquired,,,,,S007,
SSM-B001,SSM-B001-G08,18,229751,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104191.png,raw_tiles/ort_riku10/z18/x229751_y104191.png,"135.514984131,34.597041516,135.516357422,34.598171954",planned_not_acquired,,,,,S007,
